%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
0,0.468043772917,0.0137199967141,0.0,0.0,0.0,0.0,1.0
