rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1599930883018488336,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018500222,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018511778,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018516930,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018522475,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018531364,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018537311,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018540776,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018544656,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018548044,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018551710,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018564098,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018572025,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018576052,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018581284,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018585857,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018592257,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018596614,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018600182,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018603575,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018607421,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018611011,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018619762,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018626418,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018630738,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018634556,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018637988,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599930883018644649,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
