rosbagTimestamp,linear,x,y,z,angular,x,y,z
1580775560799926749,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775560806542691,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775560853140962,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775560903287298,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775560953343350,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561003593681,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561053575388,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561103779398,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561153741476,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561203962606,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561253920573,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561304165845,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561354084100,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561404356022,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561455860050,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561504497120,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561554461285,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561604694534,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561654973769,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561705219654,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561755422095,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561805426766,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561855339731,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561905543202,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775561955689570,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562005692352,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562055926664,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562105880483,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562156297920,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562206075116,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562256170713,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562306207203,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562356551407,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562406448431,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562456734332,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562506631708,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562556897060,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562606808230,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562657369584,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562707211450,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562757473939,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562807285066,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562857753447,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562907556651,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775562957961575,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563007842985,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563058041818,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563108054910,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563158368180,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563208174728,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563258668385,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563308224452,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563358664057,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563408563890,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563458952268,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563508635922,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563558979733,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563608936774,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563659163394,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563709136068,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563753974674,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563803934641,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563854163328,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563904093703,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563924929761,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563945786767,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563961914374,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563985810455,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563993752577,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775563996813222,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775564001826648,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775564004833088,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1580775564026138332,,0.0322085559368,0.0,0.0,,0.0,0.0,-0.0
1580775564028723854,,0.113591253757,0.0,0.0,,0.0,0.0,-0.0
1580775564049899074,,0.174601137638,0.0,0.0,,0.0,0.0,-0.0
1580775564052871219,,0.245810985565,0.0,0.0,,0.0,0.0,-0.0
1580775564065969868,,0.310211825371,0.0,0.0,,0.0,0.0,-0.0
1580775564068996166,,0.371248841286,0.0,0.0,,0.0,0.0,-0.0
1580775564081806556,,0.435676813126,0.0,0.0,,0.0,0.0,-0.0
1580775564084784324,,0.452604436874,0.0,0.0,,0.0,0.0,-0.0
1580775564097823004,,0.540769004822,0.0,0.0,,0.0,0.0,-0.0
1580775564100754173,,0.611951732635,0.0,0.0,,0.0,0.0,-0.0
1580775564113874453,,0.669597816467,0.0,0.0,,0.0,0.0,-0.0
1580775564116896575,,0.737389564514,0.0,0.0,,0.0,0.0,-0.0
1580775564129926296,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564182583507,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564229915073,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564280078548,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564330071961,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564380152014,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564430252010,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564480333861,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564530385240,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564582420405,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564630525865,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564680837859,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564684725097,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564729867091,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564779894685,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564828800350,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564844815574,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564883899773,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564897846818,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564916774001,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564924777066,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564945885889,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775564995836094,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565046061875,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565096109941,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565146235083,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565196268352,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565246458571,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565296411424,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565346586276,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565396573702,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565446691215,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565496715694,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565546824366,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565596828424,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565647023807,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565697049114,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565747258467,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565797302372,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565847453687,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565897429692,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565947572346,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775565997719884,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775566047801619,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775566097900882,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775566124787048,,0.8,0.0,0.0,,0.0,0.0,0.0059958698228
1580775566174885283,,0.8,0.0,0.0,,0.0,0.0,0.0059958698228
1580775566220781029,,0.8,0.0,0.0,,0.0,0.0,0.0237983349711
1580775566270818423,,0.8,0.0,0.0,,0.0,0.0,0.0237983349711
1580775566284871208,,0.8,0.0,0.0,,0.0,0.0,0.0475349508226
1580775566332829404,,0.8,0.0,0.0,,0.0,0.0,0.0653374172747
1580775566382953638,,0.8,0.0,0.0,,0.0,0.0,0.0653374172747
1580775566420894768,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566470837660,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566520890588,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566571179490,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566621029601,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566671130064,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566721206895,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566771338202,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566821536721,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566871560114,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566921555297,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775566971788465,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567021719168,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567072108765,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567121883426,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567172098061,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567222282255,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567272394133,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567322380240,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567372615564,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567422556586,,0.8,0.0,0.0,,0.0,0.0,0.0831398785114
1580775567425741910,,0.8,0.0,0.0,,0.0,0.0,0.0594032600522
1580775567436859707,,0.8,0.0,0.0,,0.0,0.0,0.0297324895859
1580775567444881848,,0.8,0.0,0.0,,0.0,0.0,0.0059958698228
1580775567461031875,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567500877614,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567516882876,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567524996053,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567574999389,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567620971033,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567671184147,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567721091275,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567771323245,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567821618503,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567871626378,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567921563255,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775567971734157,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568021714288,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568071827246,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568121873675,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568171995704,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568221934737,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568272157315,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568322161358,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568372281055,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568422285680,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568452834956,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568503045295,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568553185415,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568603271539,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568653183406,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568703412474,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568753377131,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568803717595,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568853705826,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568903866010,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568921896300,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568971955682,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775568988845322,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569018080723,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569052797486,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569060752112,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569076772860,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569126836591,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569177010133,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569227011385,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569277205446,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569305845056,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569355937137,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775569394006361,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775569443924055,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775569494183325,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775569544114816,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775569594211427,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775569622449820,,0.8,0.0,0.0,,0.0,0.0,-0.0325334105641
1580775569672189681,,0.8,0.0,0.0,,0.0,0.0,-0.0325334105641
1580775569692867883,,0.8,0.0,0.0,,0.0,0.0,-0.0562700264156
1580775569742916117,,0.8,0.0,0.0,,0.0,0.0,-0.0562700264156
1580775569793066022,,0.8,0.0,0.0,,0.0,0.0,-0.0562700264156
1580775569843178195,,0.8,0.0,0.0,,0.0,0.0,-0.0562700264156
1580775569873857542,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775569923978927,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775569973974716,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570024220231,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570074259330,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570124466498,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570174397120,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570224465464,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570275985364,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570324610269,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570374818113,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570424736958,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570474842851,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570524964664,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570575329050,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570626017085,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570675266959,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570726452577,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570776440600,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570826486088,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570876644778,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570926723361,,0.8,0.0,0.0,,0.0,0.0,-0.0800066448748
1580775570940805980,,0.8,0.0,0.0,,0.0,0.0,-0.0622041836381
1580775570956905810,,0.8,0.0,0.0,,0.0,0.0,-0.044401717186
1580775571007031968,,0.8,0.0,0.0,,0.0,0.0,-0.044401717186
1580775571013011683,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571063042558,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571113194465,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571163355184,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571213460604,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571263432685,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571313630419,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571363623811,,0.8,0.0,0.0,,0.0,0.0,-0.0265992559493
1580775571380786914,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571430861834,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571480943453,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571531103440,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571581343056,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571632527884,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571681995207,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571731355796,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571781396583,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571831443194,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571881719520,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571931694925,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775571981822867,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775572031922619,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775572081998333,,0.8,0.0,0.0,,0.0,0.0,-0.00884426403791
1580775572092764585,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775572142883444,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775572192938542,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775572243066349,,0.8,0.0,0.0,,0.0,0.0,-0.0
1580775572293112586,,0.8,0.0,0.0,,0.0,0.0,-0.0
