rosbagTimestamp,position,x,y,z,orientation,x,y,z,w
1599932301258724334,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301258735010,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301258862771,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301258922604,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301258935356,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301259053310,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301259310253,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301259320599,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301259421420,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301260638429,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301260648527,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301260652853,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301260656444,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301260664182,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301260815983,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261082502,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261097196,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261654786,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261665083,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261776356,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261786364,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261792050,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261941634,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301261949621,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262188739,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262193909,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262198000,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262201861,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262205883,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262209019,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262212251,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262408565,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262416449,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262481260,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262486226,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262646311,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262654991,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262658661,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262662307,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262668387,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262859636,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262867739,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262871086,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262896149,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301262906733,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263044288,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263052673,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263056531,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263060379,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263074739,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263184801,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263192319,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263197602,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263242425,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263335619,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263524136,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263752343,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263773863,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301263959417,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264092762,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264213222,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264278411,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264374828,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264424127,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264472378,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264506463,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264585150,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264611560,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264678300,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264788167,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264826062,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
1599932301264898336,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
